Location,CEH_Code,code,Sampling_date_yyyymmdd,Latitude,Longitude,Latitude(radians),Longitude(radians),x,y,z,Sample_type,Classification,Dry_matter_biomass_g,Soil_texture_upper,Soil_pH_upper,Depth_upper_soil_layer,LOI_upper_soil_layer,Upper_bulk_density,Cs137_bqm2_upper ,Cs134_bqm2_upper ,Cs137_bqkg_DM_upper ,Cs134_bqkg_DM_upper ,Ru106_bqkg_DM_upper ,Ru103_bqkg_DM_upper ,K40_bqkg_DM_upper ,Soil_texture_lower,Soil_pH_lower_soil,Depth_lower_soil,LOI_lower_soil,Lower_bulk_density,Cs137_bqkg_DM_lower,Cs134_bqkg_DM_lower,K40_bqkg_DM_lower,Cs137_bqkg_DM_veg,Cs134_bqkg_DM_veg,Ru106_bqkg_DM_veg,K40_bqkg_DM_veg,Cs137_bqkg_gut_contents,Cs134_bqkg_gut_contents,K40_bqkg_gut_contents,Fresh_weight_veg_g,Dry_weight_veg_g,Cs137_bqkg_fresh_flesh,Cs134_bqkg_fresh_flesh,K40_bqkg_fresh_flesh,Fresh_weight_flesh_g,Age_of_wildlife,Habitat,Sex,Cs137_bqkg_dry_gut_contents,Cs134_bqkg_dry_gut_contents,K40_bqkg_dry_gut_contents
United_Kingdom,N3018G1,N3018G,1/6/1986,53.13145825,-3.869774453,0.927318883,-0.067540306,3813.764209,-257.9751871,5096.89046,Grass,Plants,75,,,,,,,,,,,,,,,,,,,,,2660,,,,,,,,,,,,,,,,,,
United_Kingdom,N3019G1,N3019G,1/6/1986,53.15817486,-3.885893029,0.927785176,-0.067821628,3811.31989,-258.886981,5098.6723,Grass,Plants,108,,,,,,,,,,,,,,,,,,,,,503.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N3020G1,N3020G,1/6/1986,53.10473916,-3.853676219,0.926852547,-0.067259338,3816.207616,-257.0633521,5095.107346,Grass,Plants,122,,,,,,,,,,,,,,,,,,,,,2017.1,,,,,,,,,,,,,,,,,,
United_Kingdom,N3021G1,N3021G,1/6/1986,53.24729347,-3.934776611,0.929340589,-0.068674807,3803.181171,-261.5941089,5104.607968,Grass,Plants,210,,,,,,,,,,,,,,,,,,,,,2383.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N3022G1,N3022G,1/6/1986,53.25723513,-3.875257505,0.929514104,-0.067636003,3802.567107,-257.5833422,5105.269358,Grass,Plants,33,,,,,,,,,,,,,,,,,,,,,1263.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N3023G1,N3023G,1/6/1986,53.24729347,-3.934776611,0.929340589,-0.068674807,3803.181171,-261.5941089,5104.607968,Grass,Plants,68,,,,,,,,,,,,,,,,,,,,,2047,,,,,,,,,,,,,,,,,,
United_Kingdom,N3024G1,N3024G,1/6/1986,53.11486327,-3.779401021,0.927029246,-0.065962992,3815.639251,-252.0566617,5095.783114,Grass,Plants,165,,,,,,,,,,,,,,,,,,,,,420.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N3025G1,N3025G,1/6/1986,53.1202869,-4.003788412,0.927123906,-0.06987929,3814.141655,-266.9641926,5096.145068,Grass,Plants,124,,,,,,,,,,,,,,,,,,,,,5212.5,,,,,,,,,,,,,,,,,,
United_Kingdom,N3026G1,N3026G,1/6/1986,52.94301931,-3.846753465,0.924030003,-0.067138513,3830.572191,-257.5660389,5084.291241,Grass,Plants,119,,,,,,,,,,,,,,,,,,,,,6411.1,,,,,,,,,,,,,,,,,,
United_Kingdom,N3027G1,N3027G,1/6/1986,52.99160972,-3.595537509,0.924878066,-0.062753968,3827.35999,-240.4978072,5087.545313,Grass,Plants,107,,,,,,,,,,,,,,,,,,,,,2330.5,,,,,,,,,,,,,,,,,,
United_Kingdom,N3028G1,N3028G,1/6/1986,52.97918808,-3.833400625,0.924661267,-0.066905462,3827.429001,-256.458687,5086.713791,Grass,Plants,73,,,,,,,,,,,,,,,,,,,,,2087.4,,,,,,,,,,,,,,,,,,
United_Kingdom,N3029G1,N3029G,1/6/1986,53.04066516,-3.925508628,0.925734244,-0.06851305,3821.564449,-262.2374836,5090.826816,Grass,Plants,186,,,,,,,,,,,,,,,,,,,,,5577.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N3030G1,N3030G,1/6/1986,53.05263027,-3.732073869,0.925943075,-0.065136977,3821.367052,-249.2649265,5091.626641,Grass,Plants,222,,,,,,,,,,,,,,,,,,,,,312.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N3031G1,N3031G,1/6/1986,53.13169198,-3.854836495,0.927322962,-0.067279589,3813.810593,-256.979469,5096.906053,Grass,Plants,94,,,,,,,,,,,,,,,,,,,,,1990.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N3032G1,N3032G,1/6/1986,53.1754237,-3.931540022,0.928086225,-0.068618318,3809.580917,-261.8180853,5099.822107,Grass,Plants,150,,,,,,,,,,,,,,,,,,,,,3012,,,,,,,,,,,,,,,,,,
