Location,CEH_Code,code,Sampling_date_yyyymmdd,Latitude,Longitude,Sample_type,Dry_matter_biomass_g,Soil_texture_upper,Soil_pH_upper,Depth_upper_soil_layer,LOI_upper_soil_layer,Upper_bulk_density,Cs137_bqm2_upper ,Cs134_bqm2_upper ,Cs137_bqkg_DM_upper ,Cs134_bqkg_DM_upper ,Ru106_bqkg_DM_upper ,Ru103_bqkg_DM_upper ,K40_bqkg_DM_upper ,Soil_texture_lower,Soil_pH_lower_soil,Depth_lower_soil,LOI_lower_soil,Lower_bulk_density,Cs137_bqkg_DM_lower,Cs134_bqkg_DM_lower,K40_bqkg_DM_lower,Cs137_bqkg_DM_veg,Cs134_bqkg_DM_veg,Ru106_bqkg_DM_veg,K40_bqkg_DM_veg,Cs137_bqkg_gut_contents,Cs134_bqkg_gut_contents,K40_bqkg_gut_contents,Fresh_weight_veg_g,Dry_weight_veg_g,Cs137_bqkg_fresh_flesh,Cs134_bqkg_fresh_flesh,K40_bqkg_fresh_flesh,Fresh_weight_flesh_g,Age_of_wildlife,Habitat,Sex,Cs137_bqkg_dry_gut_contents,Cs134_bqkg_dry_gut_contents,K40_bqkg_dry_gut_contents
United_Kingdom,N3018G1,N3018G,1/6/1986,53.13145825,-3.869774453,Grass,75,,,,,,,,,,,,,,,,,,,,,2660,,,,,,,,,,,,,,,,,,
United_Kingdom,N3019G1,N3019G,1/6/1986,53.15817486,-3.885893029,Grass,108,,,,,,,,,,,,,,,,,,,,,503.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N3020G1,N3020G,1/6/1986,53.10473916,-3.853676219,Grass,122,,,,,,,,,,,,,,,,,,,,,2017.1,,,,,,,,,,,,,,,,,,
United_Kingdom,N3021G1,N3021G,1/6/1986,53.24729347,-3.934776611,Grass,210,,,,,,,,,,,,,,,,,,,,,2383.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N3022G1,N3022G,1/6/1986,53.25723513,-3.875257505,Grass,33,,,,,,,,,,,,,,,,,,,,,1263.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N3023G1,N3023G,1/6/1986,53.24729347,-3.934776611,Grass,68,,,,,,,,,,,,,,,,,,,,,2047,,,,,,,,,,,,,,,,,,
United_Kingdom,N3024G1,N3024G,1/6/1986,53.11486327,-3.779401021,Grass,165,,,,,,,,,,,,,,,,,,,,,420.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N3025G1,N3025G,1/6/1986,53.1202869,-4.003788412,Grass,124,,,,,,,,,,,,,,,,,,,,,5212.5,,,,,,,,,,,,,,,,,,
United_Kingdom,N3026G1,N3026G,1/6/1986,52.94301931,-3.846753465,Grass,119,,,,,,,,,,,,,,,,,,,,,6411.1,,,,,,,,,,,,,,,,,,
United_Kingdom,N3027G1,N3027G,1/6/1986,52.99160972,-3.595537509,Grass,107,,,,,,,,,,,,,,,,,,,,,2330.5,,,,,,,,,,,,,,,,,,
United_Kingdom,N3028G1,N3028G,1/6/1986,52.97918808,-3.833400625,Grass,73,,,,,,,,,,,,,,,,,,,,,2087.4,,,,,,,,,,,,,,,,,,
United_Kingdom,N3029G1,N3029G,1/6/1986,53.04066516,-3.925508628,Grass,186,,,,,,,,,,,,,,,,,,,,,5577.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N3030G1,N3030G,1/6/1986,53.05263027,-3.732073869,Grass,222,,,,,,,,,,,,,,,,,,,,,312.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N3031G1,N3031G,1/6/1986,53.13169198,-3.854836495,Grass,94,,,,,,,,,,,,,,,,,,,,,1990.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N3032G1,N3032G,1/6/1986,53.1754237,-3.931540022,Grass,150,,,,,,,,,,,,,,,,,,,,,3012,,,,,,,,,,,,,,,,,,
United_Kingdom,N3033G1,N3033G,1/6/1986,53.22082457,-3.90362442,Grass,358,,,,,,,,,,,,,,,,,,,,,1811.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N3034G1,N3034G,1/6/1986,53.07016182,-3.762630539,Grass,194,,,,,,,,,,,,,,,,,,,,,648.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N3035G1,N3035G,1/6/1986,53.06856865,-3.867048288,Grass,78,,,,,,,,,,,,,,,,,,,,,1052.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N3036G1,N3036G,1/6/1986,53.07081656,-3.717877101,Grass,262,,,,,,,,,,,,,,,,,,,,,1001.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N3037G1,N3037G,1/6/1986,53.23926719,-3.874471692,Grass,196,,,,,,,,,,,,,,,,,,,,,1682.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N3038G1,N3038G,1/6/1986,53.10355741,-3.25611744,Grass,84,,,,,,,,,,,,,,,,,,,,,248.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N3039G1,N3039G,1/6/1986,53.21041523,-3.349087799,Grass,55,,,,,,,,,,,,,,,,,,,,,1345.7,,,,,,,,,,,,,,,,,,
